year,INC,Open,Dcont,Rcont,Ocont,Midterm.,PVI..0.to.100.,PVI...100.to.100.,PresYrsIncumb,PresParty,Pres_Incumbent_SameParty,PrevElectionR.,PrevElectionD.,PrevElectionIncumbParty.,PrevElection2R.,PrevElection2D.,PrevElection2IncumbParty.,PrevPresR.,PrevPresD.,PrevPresImcumb.,PrevPresParty,PrevPresSameAsInc.,YearsIncumbPartyControl,TermsDemControl,TermsRepControl,Age.25.to.44,Age.65.and.over,Race.White,Race.Black.or.African.American,Race.American.Indian.and.Alaska.Native,Race.Asian,Race.Native.Hawaiian.and.Other.Pacific.Islander,Race.Some.other.race,Race.Two.or.more.races,Race.Hispanic.or.Latino,Unemployment.Rate,Delta.unemployment.Rate,Median.household.income,PercentDelta.median.household.income,Percent.below.poverty.level,INC_DW_NOM,IncWin,midtermEffect,ideologyEffect,IncCont,NincCont,IncContDiff,dContDiff,logIncCont,Repub,PVIeffect,logNincCont,IncPct2,SabatoScore,modelData$ID,logIncContPred,logNincContPred,IncCalc,IncDiff50,IncDiff50_2,NincCalc,NincDiff50,NincDiff50_2,dContDiff,rContDiff,ID,dPct2,rPct2,dWin
2006,R,0,13482,875369.93,0,1,57.5,15,6,R,1,0.631229327,0.368147544,0.631229327,0.604979657,0.377794691,0.604979657,64,35,64,R,1,14,0,14,39,13,68,28.6,1,1,0,0.4,1,1.3,7.306785243,-1.006785243,34544,0.144916628,17.1,0.367,1,1,5.505,875369.93,13482,4.173218084,-861887.93,13.682403,1,15,9.509184912,0.681559796,5,2006AL1,0.017005993,-0.005577269,-10.67622432,-875350.72,-875370.93,3.26E+01,1.85E+18,100000000,100000000,-875370.93,AL1,0.318440204,0.681559796,0
2006,R,0,6256,330379.74,0,1,60,20,6,R,1,0.714209085,0.284585012,0.714209085,0.687537573,0.295241135,0.687537573,67,33,67,R,1,14,0,14,40.7,13,69.3,28,0.4,0.7,0,0.5,1.1,1.5,8.701724337,-1.601724337,34257,0.080976151,15.7,0.414,1,1,8.28,330379.74,6256,3.96654491,-324123.74,12.70800103,1,20,8.741456116,0.695388024,5,2006AL2,0.001647954,-0.007095898,-118.5640158,-330379.74,-330380.74,2.75E+01,5.69E+15,100000000,100000000,-330380.74,AL2,0.304611976,0.695388024,0
2006,R,0,7674,1046769.68,4951,1,55,10,6,R,1,0.611964164,0.387494711,0.611964164,0.50307632,0.482008354,0.50307632,58,41,58,R,1,5,0,5,39.4,12.9,72.6,25.3,0.3,0.5,0,0.5,0.8,1.3,6.587042571,2.612957429,31098,0.125409994,17.9,0.338,1,1,3.38,1046769.68,7674,4.915496868,-1039095.68,13.86122044,1,10,8.945723572,0.607214367,5,2006AL3,0.009477793,0.001391488,-11.3121658,-1046757.885,-1046770.68,-77.05014313,-7674,-7674,-7674,-1046770.68,AL3,0.392785633,0.607214367,0
2006,R,0,0,622255.47,0,1,61,22,6,R,1,0.747329152,0.251356932,0.747329152,0.867188906,0,0.867188906,71,28,71,R,1,5,0,5,40.6,14.7,90.3,6.3,0.7,0.2,0,1.4,1.1,3,5.843867289,0.556132711,30783,0.127992723,15.4,0.36,1,1,7.92,622255.47,0,13.34110762,-622255.47,13.34110762,1,22,0,0.702612842,5,2006AL4,0.000626488,0.017255388,-323.4107526,-622255.47,-622256.47,-11.74200471,0,0,0,-622256.47,AL4,0.297387158,0.702612842,0
2006,R,0,193577.89,1959811.4,0,1,59,18,6,R,1,0.710729476,0.223582981,0.710729476,0.745131189,0.172826875,0.745131189,61,36,61,R,1,14,0,14,43.1,5.7,69.3,3.5,15.6,4,0.5,1.6,5.4,4.1,13.79808693,-4.398086933,51571,0.151674391,9.4,0.278,1,1,5.004,1959811.4,193577.89,2.314918904,-1766233.51,14.48835931,1,18,12.17344041,0.585746309,5,2006AK1,0.007535854,0.007758448,-11.37844548,-1959789.981,-1959812.4,-11.05199222,-193575.8207,-193577.89,-193577.89,-1959812.4,AK1,0.414253691,0.585746309,0
2006,R,0,1728892.28,2246796.51,30630.08,1,54,8,6,R,1,0.585413123,0.362248422,0.585413123,0.492120192,0.456416333,0.492120192,54,46,54,R,1,6,0,6,43,8.2,76.7,3.9,2,3.1,0.2,11,3.1,22.7,4.44415011,0.55584989,45514,-0.15812717,11.3,0.265,1,1,2.12,2246796.51,1728892.28,0.262024392,-517904.23,14.62501643,1,8,14.36299204,0.543622676,1,2006AZ1,-0.001261588,0.007340315,34.57760534,2.34E+21,100000000,-5.942888906,-1724355.909,-1.73E+06,-1728892.28,100000000,AZ1,0.456377324,0.543622676,0
2006,R,0,37234.2,474711.21,0,1,55,10,6,R,1,0.591687164,0.384550112,0.591687164,0.599151055,0.365470263,0.599151055,61,38,61,R,1,2,0,2,41.1,9.6,55.8,5.1,4.4,1,0.1,29.9,3.7,62.5,10.90336581,-6.103365811,29048,0.705900578,26.1,0.749,1,1,7.49,474711.21,37234.2,2.545454196,-437477.01,13.07046403,1,10,10.52500983,0.601144911,5,2006AZ2,0.001024576,0.003591069,-98.71878884,-474711.21,-474712.21,-28.16567962,-37234.2,-37234.2,-37234.2,-474712.21,AZ2,0.398855089,0.601144911,0
2006,R,0,107712.1,1167478.28,0,1,65,30,6,R,1,0.801030207,0,0.801030207,0.673170638,0.30287446,0.673170638,58,41,58,R,1,12,0,12,42.7,18.2,82.6,2.5,2.6,1.3,0.1,8.3,2.5,18.1,6.147085333,-2.047085333,40567,0.364828555,10.5,0.749,1,1,22.47,1167478.28,107712.1,2.383131031,-1059766.18,13.97035752,1,30,11.58722649,0.607865806,5,2006AZ3,-0.001586103,0.001934372,68.00682299,4.00E+35,100000000,-55.76271024,-107712.1,-1.08E+05,-107712.1,100000000,AZ3,0.392134194,0.607865806,0
2006,D,0,763935.99,0,0,1,37.5,-25,6,R,0,0.256646096,0.701191526,0.701191526,0.27822599,0.673836373,0.673836373,38,62,62,D,1,2,2,0,49.2,11,81.6,3.1,1.8,2.4,0.1,8.2,2.9,18.8,4.728844576,0.671155424,44556,-0.18217524,11.1,-0.421,1,-1,10.525,763935.99,0,13.54624059,763935.99,13.54624059,-1,25,0,0.751940978,5,2006AZ4,-0.005377176,-0.010009431,46.85377583,1.70E+26,100000000,25.17036037,8.54E+10,100000000,100000000,100000000,AZ4,0.751940978,0.248059022,1
2006,R,0,1936352.38,3000386.7,0,1,52.5,5,6,R,1,0.594965803,0.381941516,0.594965803,0.611676442,0.362512661,0.611676442,54,45,54,R,1,11,0,11,42.7,16,82.1,3.1,1.2,2.1,0.1,8.4,3,20.5,7.453634059,-3.653634059,39289,0.460536028,11.5,0.559,0,1,2.795,3000386.7,1936352.38,0.43793501,-1064034.32,14.91425207,1,5,14.47631706,0.479496864,-1,2006AZ5,0.005523384,0.007162998,3.712060278,119829674.4,100000000,2.862368035,31955495.45,31955495.45,31955495.45,100000000,AZ5,0.520503136,0.479496864,1
