year,state,district,total_votes,D,O,R,dPct,rPct,oPct,ID,INC,IncPct,Open,Challenge,Winner,Dreg,Rreg,Oreg,Dcont,Rcont,Ocont,Midterm?,PVI (0 to 100),PVI (-100 to 100),ID2,PresApprov,PresDisapp,PresApprovDiff,ECI,PresYrsIncumb,PresParty,Pres_Incumbent_SameParty,PrevElectionR%,PrevElectionD%,PrevElectionIncumbParty%,PrevElection2R%,PrevElection2D%,PrevElection2IncumbParty%,PrevPresR%,PrevPresD%,PrevPresImcumb%,PrevPresParty,PrevPresSameAsInc?,YearsIncumbPartyControl,TermsDemControl,TermsRepControl,Age 25 to 44,Age 65 and over,Race White,Race Black or African American,Race American Indian and Alaska Native,Race Asian,Race Native Hawaiian and Other Pacific Islander,Race Some other race,Race Two or more races,Race Hispanic or Latino,Unemployment Rate,Delta unemployment Rate,Median household income,PercentDelta median household income,Percent below poverty level,INC_DW_NOM,Sabato,SabatoNum,PVI2,demoScore
2006,AL,1,165714,52770,0,112944,0.318440204,0.681559796,0,2006AL1,R,0.681559796,0,1,R,#N/A,#N/A,#N/A,13482,875369.93,0,1,57.5,15,2006AL,#N/A,#N/A,#N/A,#N/A,6,R,1,0.631229327,0.368147544,0.631229327,0.604979657,0.377794691,0.604979657,64,35,64,R,1,14,0,14,39,13,68,28.6,1,1,0,0.4,1,1.3,7.306785243,-1.006785243,34544,0.144916628,17.1,0.367,R,5,14,0
2006,AL,2,178752,54450,0,124302,0.304611976,0.695388024,0,2006AL2,R,0.695388024,0,1,R,#N/A,#N/A,#N/A,6256,330379.74,0,1,60,20,2006AL,#N/A,#N/A,#N/A,#N/A,6,R,1,0.714209085,0.284585012,0.714209085,0.687537573,0.295241135,0.687537573,67,33,67,R,1,14,0,14,40.7,13,69.3,28,0.4,0.7,0,0.5,1.1,1.5,8.701724337,-1.601724337,34257,0.080976151,15.7,0.414,R,5,19,0
2006,AL,3,165230,63559,3414,98257,0.384669854,0.594668038,0.020662107,2006AL3,R,0.594668038,0,1,R,#N/A,#N/A,#N/A,7674,1046769.68,4951,1,55,10,2006AL,#N/A,#N/A,#N/A,#N/A,6,R,1,0.611964164,0.387494711,0.611964164,0.50307632,0.482008354,0.50307632,58,41,58,R,1,5,0,5,39.4,12.9,72.6,25.3,0.3,0.5,0,0.5,0.8,1.3,6.587042571,2.612957429,31098,0.125409994,17.9,0.338,R,5,9,0
2006,AL,4,182866,54382,0,128484,0.297387158,0.702612842,0,2006AL4,R,0.702612842,0,1,R,#N/A,#N/A,#N/A,0,622255.47,0,1,61,22,2006AL,#N/A,#N/A,#N/A,#N/A,6,R,1,0.747329152,0.251356932,0.747329152,0.867188906,0,0.867188906,71,28,71,R,1,5,0,5,40.6,14.7,90.3,6.3,0.7,0.2,0,1.4,1.1,3,5.843867289,0.556132711,30783,0.127992723,15.4,0.36,R,5,21,0
2006,AL,5,143015,143015,0,0,1,0,0,2006AL5,D,1,0,0,D,#N/A,#N/A,#N/A,589474.44,0,0,1,33.5,-33,2006AL,#N/A,#N/A,#N/A,#N/A,6,R,0,0.269168914,0.72968754,0.72968754,0.247096136,0.732839407,0.732839407,60,39,39,R,0,13,13,0,41.1,12.3,79.9,16.2,0.7,1,0,0.7,1.5,2,5.867888124,-0.067888124,38563,0.146176387,12.2,-0.132,D,-5,-19,0
2006,AL,6,163514,0,0,163514,0,1,0,2006AL6,R,1,0,0,R,#N/A,#N/A,#N/A,0,1893921.6,550,1,74.5,49,2006AL,#N/A,#N/A,#N/A,#N/A,6,R,1,0.987972079,0,0.987972079,0.898283807,0,0.898283807,78,22,78,R,1,7,0,7,43.5,12.3,82.1,14.9,0.3,1.2,0,0.7,0.8,1.8,3.925931513,0.074068487,45680,0.190499124,8.8,0.387,R,5,42,0
2006,AL,7,133870,133870,0,0,1,0,0,2006AL7,D,1,0,0,D,#N/A,#N/A,#N/A,614523.49,0,0,1,33,-34,2006AL,#N/A,#N/A,#N/A,#N/A,6,R,0,0.249425682,0.749711819,0.749711819,0,0.924393749,0.924393749,35,64,64,D,1,13,13,0,38,13.3,28.7,70,0.2,0.2,0,0.3,0.6,1,11.35140097,-0.951400968,24297,0.164670535,27.9,-0.27,D,-5,-28,0
2006,AK,1,234085,93879,7463,132743,0.401046628,0.56707179,0.031881581,2006AK1,R,0.56707179,0,1,R,#N/A,#N/A,#N/A,193577.89,1959811.4,0,1,59,18,2006AK,#N/A,#N/A,#N/A,#N/A,6,R,1,0.710729476,0.223582981,0.710729476,0.745131189,0.172826875,0.745131189,61,36,61,R,1,14,0,14,43.1,5.7,69.3,3.5,15.6,4,0.5,1.6,5.4,4.1,13.79808693,-4.398086933,51571,0.151674391,9.4,0.278,R,5,15,0
2006,AZ,1,204139,88691,9802,105646,0.434463772,0.517519925,0.048016303,2006AZ1,R,0.517519925,0,1,R,#N/A,#N/A,#N/A,1728892.28,2246796.51,30630.08,1,54,8,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,1,0.585413123,0.362248422,0.585413123,0.492120192,0.456416333,0.492120192,54,46,54,R,1,6,0,6,43,8.2,76.7,3.9,2,3.1,0.2,11,3.1,22.7,4.44415011,0.55584989,45514,-0.15812717,11.3,0.265,R Toss-up,1,6,0
2006,AZ,2,230560,89671,5739,135150,0.38892696,0.586181471,0.024891568,2006AZ2,R,0.586181471,0,1,R,#N/A,#N/A,#N/A,37234.2,474711.21,0,1,55,10,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,1,0.591687164,0.384550112,0.591687164,0.599151055,0.365470263,0.599151055,61,38,61,R,1,2,0,2,41.1,9.6,55.8,5.1,4.4,1,0.1,29.9,3.7,62.5,10.90336581,-6.103365811,29048,0.705900578,26.1,0.749,R,5,10,0
